NOME;FASE;TURMA;INSTITUICAO_ENSINO_ALUNO;SINALIZADOR_INGRESSANTE;PEDRA;INDE;IAA;IEG;IPS;IDA;IPP;REC_EQUIPE_1;REC_EQUIPE_2;REC_EQUIPE_3;REC_EQUIPE_4;PONTO_VIRADA;IPV;IAN;NIVEL_IDEAL;DEFASAGEM;ANO
ALUNO-1251;3.0;M;Escola Pública;Veterano;Ametista;7.789;8.8;7.2;6.3;8.1;7.5;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;7.4;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-1254;3.0;C;Escola Pública;Veterano;Ametista;7.379;9.2;5.8;7.5;6.8;7.5;Promovido de Fase;Mantido na Fase + Bolsa;Mantido na Fase atual;Não avaliado;Não;7.2;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-1256;5.0;A;Escola Pública;Veterano;Ágata;6.541;9.2;7.5;7.5;3.6;7.7;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Mantido na Fase atual;Não;6.9;5.0;Nível 6 (2o EM);-1.0;2021
ALUNO-1260;1.0;C;Escola Pública;Veterano;Ágata;6.163;9.0;5.0;7.5;3.9;7.7;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.3;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-1264;2.0;E;Escola Pública;Veterano;Ágata;6.254;8.0;4.2;8.1;3.1;7.3;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7.3;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-1266;3.0;R;Escola Pública;Ingressante;Quartzo;4.817;10.0;3.3;5.6;1.8;6.9;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não avaliado;Não;2.8;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-1268;1.0;A;Escola Pública;Ingressante;Ametista;6.978;8.0;7.5;7.5;5.0;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.4;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-1275;1.0;G;Escola Pública;Veterano;Topázio;8.468;9.5;9.6;7.5;7.8;8.3;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Sim;9.8;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-1278;0.0;P;Escola Pública;Veterano;Ágata;5.671;8.0;4.2;7.5;4.6;6.3;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6.2;5.0;Nível 2 (5o e 6o ano);-2.0;2021
ALUNO-1279;5.0;L;Escola Pública;Ingressante;Quartzo;4.729;8.3;1.9;0.0;3.8;7.3;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não;5.1;10.0;Nível 5 (1o EM);0.0;2021
ALUNO-1285;1.0;J;Escola Pública;Veterano;Topázio;8.407;9.0;10.0;7.5;5.9;7.7;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Sim;9.1;10.0;Nível 1 (4o ano);0.0;2021
ALUNO-1286;0.0;K;Escola Pública;Ingressante;Ametista;8.015;10.0;8.3;7.5;6.5;7.8;Mantido na Fase atual;Mantido na Fase + Bolsa;Não avaliado;Não avaliado;Não;7.6;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-1287;0.0;J;Escola Pública;Veterano;Ametista;7.546;8.0;10.0;7.5;5.3;7.5;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;Não;8.4;5.0;Nível 2 (5o e 6o ano);-2.0;2021
ALUNO-1288;7.0;A;Rede Decisão;Veterano;Ágata;6.787;8.8;7.2;5.6;5.8;6.7;Mantido na Fase atual;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Não;5.4;10.0;Nível 7 (3o EM);0.0;2021
ALUNO-1289;2.0;L;Escola Pública;Veterano;Ágata;6.86;8.5;7.9;7.5;4.8;7.9;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.1;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-1292;3.0;A;Rede Decisão;Veterano;Topázio;8.614;9.6;9.7;7.5;6.7;8.8;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Não avaliado;Não;8.7;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-1296;1.0;G;Escola Pública;Veterano;Ágata;6.844;9.5;8.8;7.5;3.5;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.2;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-1298;0.0;O;Escola Pública;Veterano;Ametista;7.521;10.0;8.3;7.5;6.4;7.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;7.8;5.0;Nível 1 (4o ano);-1.0;2021
ALUNO-1299;7.0;A;Rede Decisão;Veterano;Ametista;7.936;7.1;8.3;7.5;7.2;8.3;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Não;7.8;10.0;Nível 7 (3o EM);0.0;2021
ALUNO-1300;1.0;J;Escola Pública;Ingressante;Ametista;7.297;9.0;8.8;7.5;5.3;7.9;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;7.8;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-1301;3.0;D;Escola Pública;Ingressante;Ametista;7.983;9.6;7.5;7.5;6.0;8.3;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;8.7;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-1302;1.0;R;Escola Pública;Veterano;Quartzo;3.827;0.0;3.3;7.5;0.6;7.2;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;5.3;5.0;Nível 3 (7o e 8o ano);-2.0;2021
ALUNO-1307;2.0;B;Escola Pública;Ingressante;Ametista;6.917;7.0;6.7;7.5;4.8;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.2;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-1308;3.0;D;Escola Pública;Ingressante;Quartzo;4.892;7.1;3.3;2.5;2.3;7.5;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7.8;5.0;Nível 4 (9o ano);-1.0;2021
ALUNO-1310;3.0;A;Escola Pública;Ingressante;Ágata;6.625;9.2;5.3;7.5;3.5;7.5;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7.2;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-1315;2.0;B;Rede Decisão;Veterano;Quartzo;5.075;8.9;3.8;4.4;4.3;5.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;5.7;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-1319;2.0;R;Escola Pública;Veterano;Ametista;7.572;6.4;8.3;5.0;6.3;8.1;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8.4;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-1323;2.0;N;Escola Pública;Veterano;Ametista;7.518;8.0;8.8;5.6;5.1;7.9;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7.9;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-1324;2.0;J;Escola Pública;Veterano;Ametista;7.186;8.5;8.8;7.5;3.4;7.5;Alocado em Fase anterior;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.1;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-1326;2.0;K;Escola Pública;Veterano;Quartzo;4.396;9.0;3.8;5.6;1.3;6.9;Mantido na Fase atual;Não avaliado;Mantido na Fase atual;Não avaliado;Não;3.7;5.0;Nível 4 (9o ano);-2.0;2021
ALUNO-1330;4.0;E;Escola Pública;Veterano;Ametista;7.117;8.8;8.3;7.5;5.5;7.5;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não;7.3;5.0;Nível 5 (1o EM);-1.0;2021
ALUNO-1332;0.0;R;Escola Pública;Ingressante;Topázio;8.775;10.0;10.0;7.5;6.6;7.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Sim;9.8;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-1334;0.0;T;Escola Pública;Ingressante;Topázio;8.821;8.5;10.0;7.5;7.4;8.1;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;Sim;9.7;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-1335;2.0;G;Rede Decisão;Ingressante;Quartzo;4.831;0.0;3.8;7.5;3.4;6.7;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;4.9;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-1338;2.0;C;Escola Pública;Veterano;Ágata;6.511;7.9;2.1;7.5;5.2;7.7;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8.7;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-1343;2.0;K;Escola Pública;Veterano;Quartzo;3.996;10.0;1.3;5.6;1.3;6.9;Mantido na Fase atual;Não avaliado;Mantido na Fase atual;Não avaliado;Não;3.7;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-1344;2.0;R;Escola Pública;Veterano;Ágata;5.664;9.5;5.8;5.6;2.0;8.1;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7.6;2.5;Nível 5 (1o EM);-3.0;2021
ALUNO-1345;0.0;L;Escola Pública;Ingressante;Ágata;6.606;9.0;6.7;7.5;4.9;7.2;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;7.1;5.0;Nível 1 (4o ano);-1.0;2021
ALUNO-1348;3.0;J;Rede Decisão;Veterano;Ametista;7.422;7.5;8.6;6.3;6.9;7.5;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Não avaliado;Não;8.5;5.0;Nível 4 (9o ano);-1.0;2021
